Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,Core 32,Core 33,Core 34,Core 35,Core 36,Core 37,Core 38,Core 39,Core 40,Core 41,Core 42,Core 43,Core 44,Core 45,Core 46,Core 47
ACTUAL_CPU_CLOCK,FIXC1,20486021949,196346622442,8310359314,277358604513,548903303437,296380016869,523230680930,232671561644,466986969390,550407974010,550487683266,540356011768,509706621131,145647651204,99520011799,467520252433,37002173542,44102793665,417475868685,106381800746,340265318268,427195151273,442434413534,76751381683,539490747145,356241117982,544894904428,275626319491,4007076890,256200633002,27414630212,317921974494,82553731998,1871187421,909045912,9707709825,41707450098,404985078993,451509090957,84251715443,514755365708,507506456607,133740960568,444408391464,209790127900,124978079837,109010597138,473676607586
MAX_CPU_CLOCK,FIXC2,25091011652,229920797820,10961777540,324466981748,641363613968,347332173104,612158147580,273060026876,546590425500,643559409556,644176864016,631842482376,596294284936,170441761252,117439579488,546759609312,44175066068,52079331220,488776501332,125185217248,399001474788,499572983504,518053159372,91099140888,630296417632,416703052080,636333488168,322542985156,5689554416,299349023652,32030507572,371208434408,96386391080,2772504728,1181859504,11923924936,48946897776,474361438012,527657269076,98840268492,601395811380,593691168252,156518341000,519786357328,245084085988,146661744936,127713343100,553313219508
RETIRED_INSTRUCTIONS,PMC0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CPU_CLOCKS_UNHALTED,PMC1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Clock [MHz],2281.8388,2386.6606,2118.7724,2389.0026,2391.8670,2384.7859,2388.7740,2381.3908,2387.7466,2390.2403,2388.2951,2390.1032,2388.9393,2388.2125,2368.3257,2389.7337,2340.9682,2366.7163,2387.0777,2374.9791,2383.3547,2389.8622,2386.8222,2354.6015,2392.1293,2389.2570,2393.1695,2388.2434,1968.3164,2391.9266,2392.0159,2393.5814,2393.6822,1886.2119,2149.6386,2275.3230,2381.4088,2386.0258,2391.4432,2382.2664,2392.1366,2389.0568,2388.0570,2389.4771,2392.2988,2381.5653,2385.4919,2392.5245,
CPI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Energy Core [J],227.2260,224.7244,224.3639,225.8895,224.6068,222.7479,254.8182,252.1790,252.5355,254.0988,256.7812,254.3087,223.0723,222.6847,223.5527,224.3568,225.4936,225.6634,240.1227,242.1054,242.0375,241.1921,243.0849,244.8404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Power Core [W],0.9805,0.9697,0.9681,0.9747,0.9692,0.9612,1.0996,1.0882,1.0897,1.0965,1.1080,1.0974,0.9626,0.9609,0.9646,0.9681,0.9730,0.9738,1.0362,1.0447,1.0444,1.0408,1.0489,1.0565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Energy PKG [J],19854.1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Power PKG [W],85.6724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TABLE,Group 1 Metric STAT,ENERGY,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime (RDTSC) [s] STAT,11123.7600,231.7450,231.7450,231.7450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime unhalted [s] STAT,4738.5313,0.3253,196.9709,98.7194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock [MHz] STAT,112864.3178,1886.2119,2393.6822,2351.3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI STAT,0,inf,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Core [J] STAT,5672.4864,0,256.7812,118.1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Core [W] STAT,24.4773,0,1.1080,0.5099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy PKG [J] STAT,19854.1456,0,19854.1456,413.6280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power PKG [W] STAT,85.6724,0,85.6724,1.7848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
